Parameter,Estimate,Est.Error,Q2.5,Q97.5
b_Intercept[1],0.07598720649084954,0.019592177963999573,0.04146837371635161,0.11824940488966963
b_Intercept[2],0.2465561027417541,0.04525261695193225,0.1624624434002741,0.33921598672851033
b_Intercept[3],0.5317032154423618,0.05827901371478092,0.4190161937939815,0.6450808176107897
b_Intercept[4],0.8662948688904137,0.029898837017059532,0.8043490688330814,0.91919901278462
b_Intercept[5],0.9602592349490775,0.011776692275596475,0.9335061288069499,0.979226619275975
b_Intercept[6],0.987769785612198,0.004533578330699739,0.9774966074108208,0.9946080610715018
b_lockdown_period1,0.620871603,0.10700421730684616,0.4121982,0.8311305
b_total_hours_played_s,0.01609775773927225,0.1693471412478271,-0.31072915,0.3568713000000001
b_lockdown_period1:total_hours_played_s,0.070901500633865,0.11166172033089018,-0.1457351,0.2921965250000001
