Parameter,Estimate,Est.Error,Q2.5,Q97.5
b_Intercept[1],0.028691265374077242,0.009666145049109317,0.013518162668556492,0.05118018682137557
b_Intercept[2],0.15564535833749021,0.03617922992103018,0.09368323513508947,0.232859312184304
b_Intercept[3],0.3338567189545382,0.056912504477900916,0.22936862893064344,0.45151042856161144
b_Intercept[4],0.4843972428304515,0.06294897719991552,0.3625161312552024,0.6123253137715677
b_Intercept[5],0.6991817334050645,0.05377146873611659,0.5901002693190418,0.7995226754048259
b_Intercept[6],0.8106650196634239,0.04060125856486575,0.723152451608681,0.8841205954987125
b_Intercept[7],0.8917325104289079,0.027082274227726615,0.8313015417565575,0.9378995988106428
b_Intercept[8],0.9495677857129088,0.014637974428129679,0.9167097188975213,0.9736085244553444
b_Intercept[9],0.9755977746977931,0.008104050029626234,0.9571454072383657,0.9884524186634253
b_Intercept[10],0.9881456365914231,0.004501666325286711,0.9772662653453911,0.9949185513921383
b_Intercept[11],0.9950090482357227,0.0021653213518435985,0.9899065065753393,0.9981507302933524
b_Intercept[12],0.9969449110124445,0.0014372251124549085,0.9935531479584903,0.9989711723662281
b_Intercept[13],0.9979099947087127,0.001049336953840561,0.9953489493696076,0.9993410974789644
b_Intercept[14],0.9988343260931327,6.457889767976569e-4,0.9972225452008869,0.9996824645197943
b_Intercept[15],0.9994176109979983,3.758584937235708e-4,0.998458327384061,0.999872140451146
b_Intercept[16],0.9997435061867084,2.0693044994969827e-4,0.9991920569724391,0.9999617773843146
b_Intercept[17],0.9998598005531163,1.336021293900643e-4,0.9994856377300316,0.9999872094332691
b_Intercept[18],0.999950783304608,6.480565635568856e-5,0.9997776541568447,0.9999986024836889
b_lockdown_period1,0.19068150421895,0.10116557016659473,-0.005350096249999995,0.3868021750000001
b_total_hours_played_s,0.3396898262885,0.176227229962735,-0.005898301499999985,0.679842275
b_lockdown_period1:total_hours_played_s,-0.083766926462525,0.1087170167200204,-0.3023343,0.12503635000000002
