effect,term,Estimate,Est.Error,l-95% CI,u-95% CI,Rhat,Bulk_ESS,Tail_ESS
fixed,Intercept[1],-2.53148012375,0.2884020928868147,-3.11489375,-1.99816425,1.0004149304001928,2953,4888
fixed,Intercept[2],-1.133389626,0.24727530585134377,-1.6311602499999998,-0.6655123500000004,1.0005889575417577,2962,4979
fixed,Intercept[3],0.125584509544475,0.24042390764650243,-0.34459994999999993,0.59666285,1.0005959446048858,3129,5454
fixed,Intercept[4],1.886363118125,0.2698186205454825,1.3723227500000001,2.42751125,1.0004297114631202,3303,4045
fixed,Intercept[5],3.21801799375,0.316201113736738,2.6279532499999996,3.8674252499999993,1.0006892795564684,3614,5057
fixed,Intercept[6],4.4428945075,0.38440987103871493,3.72096875,5.229824,1.0002764554416677,3932,4907
fixed,lockdown_period1,0.619958671375,0.10844436621325382,0.41048645000000006,0.833292375,1.0005228400290562,8316,5558
fixed,total_hours_played_s,0.013446114873574999,0.17137226645958314,-0.3278801999999999,0.3408326,1.0004950566549435,5076,6245
fixed,lockdown_period1:total_hours_played_s,0.0730311573873125,0.11281937122111929,-0.14616649999999998,0.29908092499999994,1.0001970086484517,10314,6402
