response_id,time,regularly_play,total_hours_played
R_WerDtRBiVK6hlnP,before,yes,20
R_WerDtRBiVK6hlnP,after,yes,30
R_333VdNEK4f8Xyui,before,no,0
R_333VdNEK4f8Xyui,after,yes,30
R_2cdROg831T1vhEC,before,yes,60
R_2cdROg831T1vhEC,after,yes,60
R_p5CA0SZn571DSEN,before,yes,15
R_p5CA0SZn571DSEN,after,yes,25
R_2CvKeTojbEMdWFy,before,yes,12
R_2CvKeTojbEMdWFy,after,yes,30
R_3hywX9R1oSIynmb,before,yes,15
R_3hywX9R1oSIynmb,after,yes,40
R_27ExcEAbe7WWZAY,before,yes,15
R_27ExcEAbe7WWZAY,after,yes,20
R_cTISqj1k1d4BAOd,before,yes,0
R_cTISqj1k1d4BAOd,after,yes,0
R_3OEuDPyfhuyKTkd,before,yes,0
R_3OEuDPyfhuyKTkd,after,yes,0
R_1H78Zq7MMV4bmUw,before,yes,15
R_1H78Zq7MMV4bmUw,after,yes,45
R_2cvas4XCHYE6Kkz,before,yes,28.000000000000004
R_2cvas4XCHYE6Kkz,after,no,0
R_3HpP9AcM8KfmlN5,before,yes,12
R_3HpP9AcM8KfmlN5,after,yes,28.000000000000004
R_1MXmVmetdFpHiB4,before,yes,6
R_1MXmVmetdFpHiB4,after,yes,25
R_2rZRXqFfn0ikBOS,before,yes,15
R_2rZRXqFfn0ikBOS,after,yes,0
R_1Cy9Qzx0gi4C0n2,before,yes,0
R_1Cy9Qzx0gi4C0n2,after,yes,0
R_3LXrDOSOEDocie5,before,no,0
R_3LXrDOSOEDocie5,after,yes,35
R_3PAINhZstYwZKnG,before,yes,5.999999999999999
R_3PAINhZstYwZKnG,after,yes,55
R_RzB3YPB2gpL3ylr,before,yes,35
R_RzB3YPB2gpL3ylr,after,yes,45
R_BueCPimsWc9Utd7,before,yes,12
R_BueCPimsWc9Utd7,after,yes,24
R_2Clwma6pSIEIvrW,before,yes,7.000000000000001
R_2Clwma6pSIEIvrW,after,yes,20
R_0D28y4Gxg25qSR3,before,no,0
R_0D28y4Gxg25qSR3,after,yes,15
R_1M3DvETU5JOu5b0,before,no,0
R_1M3DvETU5JOu5b0,after,yes,0
R_3iWtUWUbIxPab5K,before,yes,0
R_3iWtUWUbIxPab5K,after,yes,0
R_2CB7Tu6CfOt3tUN,before,yes,25
R_2CB7Tu6CfOt3tUN,after,yes,60.99999999999999
R_2ARphcLKbG8pCbs,before,yes,2
R_2ARphcLKbG8pCbs,after,yes,8
R_1dFdkaSKE6hI4m0,before,no,0
R_1dFdkaSKE6hI4m0,after,yes,15
R_3D7xVjOEj7lRX1u,before,no,0
R_3D7xVjOEj7lRX1u,after,yes,8
R_246tBSBZyx6fChw,before,no,0
R_246tBSBZyx6fChw,after,no,0
R_3DcJPhdo2DHBes3,before,yes,10
R_3DcJPhdo2DHBes3,after,yes,15
R_3EjaJDRhLy9xsUT,before,yes,70
R_3EjaJDRhLy9xsUT,after,yes,90
R_3gLfJnM7hmP4b0g,before,yes,45
R_3gLfJnM7hmP4b0g,after,yes,0
R_1GKJM6pEM2FrpLP,before,yes,14.000000000000002
R_1GKJM6pEM2FrpLP,after,yes,28.999999999999996
R_3h0zYlV2nMlsjkp,before,yes,11.999999999999998
R_3h0zYlV2nMlsjkp,after,no,0
R_2bVGOK2omxjKHpn,before,yes,10
R_2bVGOK2omxjKHpn,after,yes,10
R_3ne0xvsnUk3Dg2b,before,yes,49
R_3ne0xvsnUk3Dg2b,after,yes,65
R_1riU7KvjYAwtXJE,before,no,0
R_1riU7KvjYAwtXJE,after,no,0
R_33m18XGfnq4Vj9o,before,yes,60
R_33m18XGfnq4Vj9o,after,yes,60
R_2YyT0OjStuntyXf,before,yes,40
R_2YyT0OjStuntyXf,after,yes,20
R_2QzW5HTDKSQoIdW,before,yes,10
R_2QzW5HTDKSQoIdW,after,yes,10
R_1PYHLXLRtVtLKCC,before,yes,20
R_1PYHLXLRtVtLKCC,after,yes,22
R_2fvruv9ZivyF7o5,before,yes,30
R_2fvruv9ZivyF7o5,after,yes,40
R_1Fl9AQQ2mrxHqGW,before,yes,15
R_1Fl9AQQ2mrxHqGW,after,yes,35
R_2wmnaQBPNB7V2gM,before,yes,15
R_2wmnaQBPNB7V2gM,after,yes,15
R_piX57LSmaReTby1,before,yes,8
R_piX57LSmaReTby1,after,yes,10
R_Oju76sshryv7YAh,before,yes,0
R_Oju76sshryv7YAh,after,yes,28.000000000000004
R_Xjm191b0NxVNvbz,before,yes,10
R_Xjm191b0NxVNvbz,after,yes,31
R_30uRCB7vSqjK8Tf,before,yes,15
R_30uRCB7vSqjK8Tf,after,yes,21
R_1QfJ0V1q7quecwG,before,yes,15
R_1QfJ0V1q7quecwG,after,yes,0
R_2VkJBjNuuyAttyZ,before,yes,22
R_2VkJBjNuuyAttyZ,after,yes,25
R_RLcbhnqjnjLiaVX,before,yes,3
R_RLcbhnqjnjLiaVX,after,yes,13.5
R_2B4II5QqOBTuBsc,before,yes,15
R_2B4II5QqOBTuBsc,after,yes,30
R_1M5w3AllKLTG9vr,before,yes,43.2
R_1M5w3AllKLTG9vr,after,yes,56.24
R_2fvUAwVkhV1ypOM,before,yes,0
R_2fvUAwVkhV1ypOM,after,yes,0
R_0vTXEcLGjOc6uRj,before,yes,22
R_0vTXEcLGjOc6uRj,after,yes,30
R_3259jqnrUhcJUgT,before,no,0
R_3259jqnrUhcJUgT,after,yes,25
R_3VJUdRxHSSY9KRH,before,yes,40
R_3VJUdRxHSSY9KRH,after,yes,60
R_b3OqdK3QYKKuHYd,before,yes,5
R_b3OqdK3QYKKuHYd,after,yes,12
R_8jHHv1qsC7vCAz7,before,yes,14
R_8jHHv1qsC7vCAz7,after,yes,20
R_BDGcUeEGjSpIacN,before,yes,10
R_BDGcUeEGjSpIacN,after,yes,40
R_1IinNUQ1rqrHi12,before,yes,60
R_1IinNUQ1rqrHi12,after,yes,121
R_3lxovCWhEaeqaCs,before,yes,30
R_3lxovCWhEaeqaCs,after,yes,16
R_1N9O72YdQ4GZFDi,before,yes,48
R_1N9O72YdQ4GZFDi,after,yes,40
R_brWqcjWNLR2SR6p,before,yes,25
R_brWqcjWNLR2SR6p,after,yes,35
R_1HbCUjufNKWfBV4,before,yes,35
R_1HbCUjufNKWfBV4,after,yes,15.75
R_OP7imJenh3QEzHr,before,yes,13
R_OP7imJenh3QEzHr,after,yes,51
R_1mmJ4ZOT1aKUnz7,before,no,0
R_1mmJ4ZOT1aKUnz7,after,yes,90
R_2YJKbEV4DDO8Lc0,before,yes,20
R_2YJKbEV4DDO8Lc0,after,yes,15
R_1FmqwzhhGgMovg2,before,no,0
