response_id,time,regularly_play,percent_1,percent_2,percent_3,percent_4,percent_5,percent_6,percent_7,percent_8,percent_9,hours_1,hours_2,hours_3,hours_4,hours_5,hours_6,hours_7,hours_8,hours_9,total_hours,total_percent,single_multi_1,single_multi_2,single_multi_3,single_multi_4,single_multi_5,single_multi_6,single_multi_7,single_multi_8,single_multi_9
R_1CkeSqHcTu6ioRR,after,yes,0,0,50,0,0,50,0,0,0,0,0,2,0,0,2,0,0,0,4,100,NA,NA,alone,NA,NA,alone,NA,NA,NA
R_2qaBXyfNpVCNqWK,before,yes,0,0,50,5,2,5,0,5,0,0,0,33.5,3.35,1.34,3.35,0,3.35,0,44.89,67,NA,NA,multiplayer,multiplayer,alone,multiplayer,NA,alone,NA
R_2qaBXyfNpVCNqWK,after,yes,0,0,60,10,2,2,0,6,0,0,0,48.6,8.100000000000001,1.62,1.62,0,4.86,0,64.8,80,NA,NA,multiplayer,multiplayer,alone,alone,NA,multiplayer,NA
R_12LI8ats6sqsq4j,before,yes,0,0,0,40,0,30,0,30,0,0,0,0,10,0,7.5,0,7.5,0,25,100,NA,NA,NA,multiplayer,NA,alone,NA,alone,NA
R_12LI8ats6sqsq4j,after,yes,0,0,0,40,0,30,0,30,0,0,0,0,14,0,10.5,0,10.5,0,35,100,NA,NA,NA,multiplayer,NA,alone,NA,alone,NA
R_21vy4qSSLUBhkI5,before,yes,0,10,0,0,10,80,0,0,0,0,1.4000000000000001,0,0,1.4000000000000001,11.200000000000001,0,0,0,14.000000000000002,100,NA,alone,NA,NA,multiplayer,alone,NA,NA,NA
R_21vy4qSSLUBhkI5,after,yes,0,0,75,0,0,25,0,0,0,0,0,22.5,0,0,7.5,0,0,0,30,100,NA,NA,multiplayer,NA,NA,alone,NA,NA,NA
R_2DZSUz54Rl39uyo,before,yes,0,5,25,0,0,60,0,0,10,0,0.6,3,0,0,7.199999999999999,0,0,1.2,12,100,NA,alone,alone,NA,NA,alone,NA,NA,alone
R_2DZSUz54Rl39uyo,after,yes,0,35,0,0,0,60,0,0,5,0,1.75,0,0,0,3,0,0,0.25,5,100,NA,alone,NA,NA,NA,alone,NA,NA,NA
R_3gYE1Oyb2ecCXAO,before,yes,0,0,30,10,0,30,5,20,5,0,0,6,2,0,6,1,4,1,20,100,NA,NA,alone,multiplayer,NA,alone,alone,alone,alone
R_3gYE1Oyb2ecCXAO,after,yes,0,0,50,30,0,0,20,0,0,0,0,20,12,0,0,8,0,0,40,100,NA,NA,multiplayer,multiplayer,NA,NA,multiplayer,NA,NA
R_R80uXkBmWsWOzfP,before,yes,0,0,0,100,0,0,0,0,0,0,0,0,33,0,0,0,0,0,33,100,NA,NA,NA,multiplayer,NA,NA,NA,NA,NA
R_R80uXkBmWsWOzfP,after,yes,0,0,0,100,0,0,0,0,0,0,0,0,46,0,0,0,0,0,46,100,NA,NA,NA,multiplayer,NA,NA,NA,NA,NA
R_RePvY6Xpy9N1z45,before,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,multiplayer,multiplayer,NA,alone,NA,NA,alone
R_RePvY6Xpy9N1z45,after,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,multiplayer,multiplayer,multiplayer,alone,alone,NA,NA
R_0pRhQEssmj1aIbT,before,yes,0,0,50,50,0,0,0,0,0,0,0,11,11,0,0,0,0,0,22,100,NA,NA,alone,multiplayer,NA,NA,NA,NA,NA
R_0pRhQEssmj1aIbT,after,yes,0,0,20,50,10,20,0,0,0,0,0,6,15,3,6,0,0,0,30,100,NA,NA,multiplayer,multiplayer,multiplayer,alone,NA,NA,NA
R_1mEDv9S4U18sxZe,before,yes,0,5,0,0,0,95,0,0,0,0,0.2,0,0,0,3.8000000000000003,0,0,0,4,100,NA,alone,NA,NA,NA,multiplayer,NA,NA,NA
R_1mEDv9S4U18sxZe,after,yes,5,5,0,0,40,45,5,0,0,0.35000000000000003,0.35000000000000003,0,0,2.8000000000000003,3.1500000000000004,0.35000000000000003,0,0,7.000000000000001,100,multiplayer,alone,NA,NA,alone,multiplayer,alone,NA,NA
R_06y6RQMIag7OLT3,before,yes,0,20,0,0,0,30,0,50,0,0,2,0,0,0,3,0,5,0,10,100,NA,alone,NA,NA,NA,alone,NA,alone,NA
R_06y6RQMIag7OLT3,after,yes,0,20,15,0,0,25,25,15,0,0,7,5.25,0,0,8.75,8.75,5.25,0,35,100,NA,alone,alone,NA,NA,alone,alone,alone,NA
R_23Ulx9Mu6ClxGOJ,before,yes,0,40,0,0,20,0,20,0,20,0,2,0,0,1,0,1,0,1,5,100,NA,alone,NA,NA,multiplayer,NA,multiplayer,NA,multiplayer
R_23Ulx9Mu6ClxGOJ,after,yes,30,30,0,0,10,0,20,0,10,4.5,4.5,0,0,1.5,0,3,0,1.5,15,100,multiplayer,alone,NA,NA,multiplayer,NA,alone,NA,multiplayer
R_3nkCL8JrVmutsy2,before,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,alone,NA,multiplayer,NA,NA,NA,multiplayer,NA
R_3nkCL8JrVmutsy2,after,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,multiplayer,NA
R_10IYWwAbUvh1Uhh,before,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,alone,NA,NA,alone,NA,NA,NA
R_10IYWwAbUvh1Uhh,after,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,alone,NA,NA,alone,NA,NA,NA
R_4UciCNgShnGGPRv,before,yes,0,0,0,65,0,5,0,30,0,0,0,0,65,0,5,0,30,0,100,100,NA,NA,NA,multiplayer,NA,alone,NA,multiplayer,NA
R_4UciCNgShnGGPRv,after,yes,0,2,6,50,0,0,0,42,0,0,2.6,7.800000000000001,65,0,0,0,54.6,0,130,100,NA,alone,alone,multiplayer,NA,NA,NA,multiplayer,NA
R_Zgzav0hvyZ96c6d,before,yes,0,5,0,70,25,0,0,0,0,0,2,0,28,10,0,0,0,0,40,100,NA,alone,NA,multiplayer,multiplayer,NA,NA,NA,NA
R_Zgzav0hvyZ96c6d,after,yes,0,10,0,30,10,0,50,0,0,0,6.5,0,19.5,6.5,0,32.5,0,0,65,100,NA,alone,NA,multiplayer,alone,NA,alone,NA,NA
R_1K1Fc63G8b1FSAP,before,yes,0,0,35,35,0,30,0,0,0,0,0,3.5,3.5,0,3,0,0,0,10,100,NA,NA,alone,alone,NA,alone,NA,NA,NA
R_1K1Fc63G8b1FSAP,after,yes,0,0,35,35,0,30,0,0,0,0,0,3.5,3.5,0,3,0,0,0,10,100,NA,NA,alone,alone,NA,alone,NA,NA,NA
R_3oLsLBM6ZWrfpVQ,before,yes,0,5,30,50,0,10,0,5,0,0,3,18,30,0,6,0,3,0,60,100,NA,alone,alone,multiplayer,multiplayer,alone,alone,alone,NA
R_3oLsLBM6ZWrfpVQ,after,yes,5,20,20,50,0,5,0,0,0,5.25,21,21,52.5,0,5.25,0,0,0,105,100,alone,alone,multiplayer,multiplayer,multiplayer,multiplayer,alone,alone,NA
R_1ImlmXBKKlXZVm0,before,yes,0,0,50,50,0,0,0,0,0,0,0,6,6,0,0,0,0,0,12,100,alone,alone,alone,alone,NA,alone,alone,alone,alone
R_1ImlmXBKKlXZVm0,after,yes,0,20,30,45,5,0,0,0,0,0,8,12,18,2,0,0,0,0,40,100,NA,alone,alone,multiplayer,alone,NA,NA,NA,alone
R_3Gg2Ve4XnzJBPL1,before,yes,0,0,50,50,0,0,0,0,0,0,0,30,30,0,0,0,0,0,60,100,NA,alone,alone,multiplayer,NA,NA,NA,NA,NA
