effect,Estimate,Est.Error,l-95% CI,u-95% CI,Rhat,Bulk_ESS,Tail_ESS
fixed,-0.584565870279675,0.7230439483417834,-1.9708412499999999,0.8328121,1.0018331727567915,4386,2937
fixed,0.06554134040795,0.028755299561433374,0.008985471250000023,0.12138857500000003,1.0019515244180641,4114,2940
