Parameter,Estimate,Est.Error,Q2.5,Q97.5
b_Intercept[1],1.9329781153796442e-4,3.4843727266962277e-4,1.9753852191058266e-6,0.0010721783631448501
b_Intercept[2],0.001646330123245725,0.0018320793061165567,1.0491997153105751e-4,0.006588663947487939
b_Intercept[3],0.009125687599163275,0.007567126152204253,0.0011457360636184103,0.02897907977430916
b_Intercept[4],0.05448687650580971,0.031867641623324054,0.012927263022353155,0.13422286429737465
b_Intercept[5],0.10787742304297017,0.0531567080016077,0.03143422972344865,0.23546860505103526
b_Intercept[6],0.24392956246085376,0.09215656832322484,0.09601700401145223,0.4503434662373488
b_Intercept[7],0.3861977041404794,0.11397655697610601,0.1839071692315849,0.627824580818097
b_Intercept[8],0.6975000365830719,0.10420202897935978,0.4753242490591374,0.8791601806407535
b_Intercept[9],0.8500569106654197,0.06796549017452126,0.6930262594096781,0.9546827112143496
b_Intercept[10],0.948987745225505,0.029475370634199433,0.8749260263618814,0.9877201316187519
b_Intercept[11],0.992770273486568,0.005616201342415837,0.9780343621640246,0.9988898899969729
b_lockdown_period1,0.14327097700885,0.15434315618824337,-0.159504175,0.4393904
b_total_hours_played_s,0.19930919026409374,0.2698427200539637,-0.326626025,0.7285771499999995
b_lockdown_period1:total_hours_played_s,0.0020183122615375,0.17534412994290513,-0.3422043,0.3329818249999998
