effect,term,Estimate,Est.Error,l-95% CI,u-95% CI,Rhat,Bulk_ESS,Tail_ESS
fixed,Intercept[1],-9.57622522125,1.6018980484060032,-13.134747499999998,-6.836990250000001,1.0012765790377773,2060,3546
fixed,Intercept[2],-6.9067406875,1.0618224282732025,-9.16220775,-5.015794250000001,1.0010605989352754,1983,3018
fixed,Intercept[3],-4.9983515625,0.833129187854465,-6.7705622499999984,-3.5117740000000017,1.0004964214692678,1900,3634
fixed,Intercept[4],-3.02290566075,0.6364810001207771,-4.335405249999999,-1.8641260000000008,1.0007429659942157,1837,3690
fixed,Intercept[5],-2.23472484625,0.5738318968270524,-3.4279189999999997,-1.1776855000000002,1.0008836205680098,1810,3461
fixed,Intercept[6],-1.1980683395926375,0.5227661243102181,-2.2422852499999997,-0.1992830500000003,1.0009508940466278,1797,3664
fixed,Intercept[7],-0.49074397263675,0.5073355396073643,-1.490097,0.5228954999999997,1.0010443289889426,1729,3395
fixed,Intercept[8],0.8882972076806213,0.5268488592742838,-0.09878325499999975,1.9845012499999999,1.0014764949935122,1571,3375
fixed,Intercept[9],1.84069374695,0.5649037847773956,0.8143057000000004,3.047690499999999,1.0015898087915107,1550,3381
fixed,Intercept[10],3.08943312625,0.6287525506600027,1.9452340000000001,4.387438249999999,1.0012405538573146,1619,3508
fixed,Intercept[11],5.19592085375,0.7748429530050501,3.7960655,6.802185499999999,1.0009649869770723,1830,3673
fixed,lockdown_period1,0.14327097700885,0.15434315618824337,-0.15950417499999997,0.4393904,1.0001029873332516,9416,5503
fixed,total_hours_played_s,0.19930919026409374,0.2698427200539637,-0.32662602499999993,0.7285771499999995,1.0018603948923854,3481,5073
fixed,lockdown_period1:total_hours_played_s,0.0020183122615375,0.17534412994290513,-0.34220429999999996,0.3329818249999998,0.999911639834603,7743,6210
