effect,term,Estimate,Est.Error,l-95% CI,u-95% CI,Rhat,Bulk_ESS,Tail_ESS
fixed,Intercept,0.0986868928870375,0.5644026225158395,-1.00827925,1.2117227499999998,1.0006841118748186,7895,5352
fixed,hours_diff,0.0689182265701875,0.02931521974940072,0.011818365000000018,0.126343925,1.0008199680141632,7696,5413
