effect,Estimate,Est.Error,l-95% CI,u-95% CI,Rhat,Bulk_ESS,Tail_ESS
fixed,-10.69038138,1.6388831349625304,-14.124039999999999,-7.8489445,1.0026256063043597,1184,1738
fixed,-7.8032321025,1.1009781653328505,-10.173860000000001,-5.86300875,1.0025506511073565,1079,1728
fixed,-5.682753985,0.8582700862265022,-7.465007249999998,-4.15223575,1.0027018085248693,978,1798
fixed,-3.514565765,0.6684405366631563,-4.8748344999999995,-2.31333275,1.0019969467941412,862,1571
fixed,-2.5425864865,0.6095083400275353,-3.7829895,-1.4037102499999996,1.0019802147821293,813,1435
fixed,-1.38594091501,0.5592954570547891,-2.5306269999999995,-0.3126047249999997,1.0014924609517748,759,1477
fixed,-0.50826662763025,0.548945443914141,-1.6009439999999995,0.5383138000000003,1.0023334356146727,695,1144
fixed,1.011188772746,0.5520691926137269,-0.05430750249999996,2.1060410000000003,1.0034465198519338,627,887
fixed,2.0250149140000002,0.5845833480019799,0.9537457250000001,3.2241027499999997,1.003209905504008,648,1047
fixed,3.370430595,0.63963082622545675,2.2020577500000003,4.671358000000001,1.0022010321423689,731,1227
fixed,5.494447865,0.754619748509209,4.10054725,7.0396565,1.0027667263258266,896,1625
fixed,0.109624396764425,0.14761000177359546,-0.17819079999999998,0.39786202500000006,1.0001631436882201,5249,3161
fixed,0.1632922657413,0.283024912615074,-0.38741012500000005,0.7210268750000001,1.0011740239424465,1593,2279
fixed,-0.061617889704625,0.15820792673460807,-0.369444775,0.2546947250000001,0.9995746272368637,3599,3090
