Hypothesis,Estimate,Est.Error,CI.Lower,CI.Upper,Evid.Ratio,Post.Prob,Star
(time1) = 0,0.70332003575,0.15090075667924288,0.4218021,1.01825875,9.329501622749056e-7,9.329492918797123e-7,*
(total_hours_played_s) = 0,-0.07363042310725,0.2236900851305392,-0.5232369750000001,0.3561068750000001,22.95923596056599,0.9582624420225303,
(time1:total_hours_played_s) = 0,0.04277212596915,0.14534011780509562,-0.24236505,0.3294084250000002,33.40660254371849,0.9709358109761242,
