response_id,lockdown_period,subscale,score
R_2zMWZPoTl4gnah2,before,loneliness,5
R_2zVbcDhM4AXPsZT,after,loneliness,6
R_2zVbcDhM4AXPsZT,before,loneliness,6
R_30enO1wA4LKIhUd,after,loneliness,7
R_30enO1wA4LKIhUd,before,loneliness,8
R_325eUWTIGcn1611,after,loneliness,6
R_325eUWTIGcn1611,before,loneliness,6
R_330XwyrcBDhgBbG,after,loneliness,4
R_330XwyrcBDhgBbG,before,loneliness,4
R_3CPHuI39ahB49V3,after,loneliness,3
R_3CPHuI39ahB49V3,before,loneliness,3
R_3EbVJrxApyyyxvF,after,loneliness,7
R_3EbVJrxApyyyxvF,before,loneliness,7
R_3feFL01maECWrJE,after,loneliness,9
R_3feFL01maECWrJE,before,loneliness,9
R_3fxYkqCxaavMK2C,after,loneliness,4
R_3fxYkqCxaavMK2C,before,loneliness,4
R_3gSjiAkUHvZ1gGz,after,loneliness,6
R_3gSjiAkUHvZ1gGz,before,loneliness,6
R_3gZQ1C8SCyoh4Yc,after,loneliness,8
R_3gZQ1C8SCyoh4Yc,before,loneliness,5
R_3hh98EI7vZruSPW,after,loneliness,4
R_3hh98EI7vZruSPW,before,loneliness,3
R_3isVf81cZgHhWye,after,loneliness,6
R_3isVf81cZgHhWye,before,loneliness,6
R_3iw1b49YIXMCguO,after,loneliness,3
R_3iw1b49YIXMCguO,before,loneliness,3
R_3IXNsI0MDPSrAEU,after,loneliness,6
R_3IXNsI0MDPSrAEU,before,loneliness,6
R_3j2oWZoAEr1njjz,after,loneliness,5
R_3j2oWZoAEr1njjz,before,loneliness,7
R_3KHiukMNRuxucCu,after,loneliness,5
R_3KHiukMNRuxucCu,before,loneliness,4
R_3L0dsQEmJBoz6CB,after,loneliness,6
R_3L0dsQEmJBoz6CB,before,loneliness,8
R_3m96s3870QvAUkz,after,loneliness,4
R_3m96s3870QvAUkz,before,loneliness,4
R_3mltujcfVRDBFwo,after,loneliness,3
R_3mltujcfVRDBFwo,before,loneliness,3
R_3nIcJNaem29eD3m,after,loneliness,4
R_3nIcJNaem29eD3m,before,loneliness,5
R_3P6tAdx0tJOoBY2,after,loneliness,8
R_3P6tAdx0tJOoBY2,before,loneliness,7
R_3PcoH72zwQSCOj0,after,loneliness,5
R_3PcoH72zwQSCOj0,before,loneliness,5
R_3PcqPxFcGNpruMf,after,loneliness,3
R_3PcqPxFcGNpruMf,before,loneliness,6
R_3pmQxy0TjRvKfQq,after,loneliness,4
R_3pmQxy0TjRvKfQq,before,loneliness,6
R_3rYAprW0GQ77H60,after,loneliness,3
R_3rYAprW0GQ77H60,before,loneliness,3
R_3siyKpiPmQRcuE2,after,loneliness,3
R_3siyKpiPmQRcuE2,before,loneliness,3
R_55QtESMR1CmR1bb,after,loneliness,6
R_55QtESMR1CmR1bb,before,loneliness,4
R_9zzr3A5XBoHiHol,after,loneliness,9
R_9zzr3A5XBoHiHol,before,loneliness,9
R_A672rfL6ej9Rq8h,after,loneliness,8
R_A672rfL6ej9Rq8h,before,loneliness,7
R_b3Iy7fxUDsppxAJ,after,loneliness,6
R_b3Iy7fxUDsppxAJ,before,loneliness,6
R_CZwSxUPuv8a4BYl,after,loneliness,5
R_CZwSxUPuv8a4BYl,before,loneliness,5
R_efceETmT2E2TBXH,after,loneliness,4
R_efceETmT2E2TBXH,before,loneliness,5
R_egrPbOmESOQ7LH3,after,loneliness,9
R_egrPbOmESOQ7LH3,before,loneliness,9
R_pJC3uBxyJBR1a1z,after,loneliness,6
R_pJC3uBxyJBR1a1z,before,loneliness,6
R_Q4TbigA0CMUCMAF,after,loneliness,6
R_Q4TbigA0CMUCMAF,before,loneliness,5
R_rqkHtlJzlFPbYgF,after,loneliness,5
R_rqkHtlJzlFPbYgF,before,loneliness,6
R_SSMMEEODX9uDbLr,after,loneliness,6
R_SSMMEEODX9uDbLr,before,loneliness,8
R_TemVHsV6Me3tByp,after,loneliness,8
R_TemVHsV6Me3tByp,before,loneliness,9
R_x5Wbvksc6tIcvE5,after,loneliness,4
R_x5Wbvksc6tIcvE5,before,loneliness,5
R_xAymUDRf13ewvE5,after,loneliness,6
R_xAymUDRf13ewvE5,before,loneliness,3
