response_id,time,regularly_play,total_hours_played
R_2Clwma6pSIEIvrW,before,yes,7.000000000000001
R_2Clwma6pSIEIvrW,after,yes,20
R_2CB7Tu6CfOt3tUN,before,yes,25
R_2CB7Tu6CfOt3tUN,after,yes,60.99999999999999
R_2ARphcLKbG8pCbs,before,yes,2
R_2ARphcLKbG8pCbs,after,yes,8
R_3DcJPhdo2DHBes3,before,yes,10
R_3DcJPhdo2DHBes3,after,yes,15
R_1GKJM6pEM2FrpLP,before,yes,14.000000000000002
R_1GKJM6pEM2FrpLP,after,yes,28.999999999999996
R_2bVGOK2omxjKHpn,before,yes,10
R_2bVGOK2omxjKHpn,after,yes,10
R_3ne0xvsnUk3Dg2b,before,yes,49
R_3ne0xvsnUk3Dg2b,after,yes,65
R_33m18XGfnq4Vj9o,before,yes,60
R_33m18XGfnq4Vj9o,after,yes,60
R_2YyT0OjStuntyXf,before,yes,40
R_2YyT0OjStuntyXf,after,yes,20
R_2QzW5HTDKSQoIdW,before,yes,10
R_2QzW5HTDKSQoIdW,after,yes,10
R_1PYHLXLRtVtLKCC,before,yes,20
R_1PYHLXLRtVtLKCC,after,yes,22
R_2fvruv9ZivyF7o5,before,yes,30
R_2fvruv9ZivyF7o5,after,yes,40
R_1Fl9AQQ2mrxHqGW,before,yes,15
R_1Fl9AQQ2mrxHqGW,after,yes,35
R_2wmnaQBPNB7V2gM,before,yes,15
R_2wmnaQBPNB7V2gM,after,yes,15
R_piX57LSmaReTby1,before,yes,8
R_piX57LSmaReTby1,after,yes,10
R_Oju76sshryv7YAh,before,yes,0
R_Oju76sshryv7YAh,after,yes,28.000000000000004
R_Xjm191b0NxVNvbz,before,yes,10
R_Xjm191b0NxVNvbz,after,yes,31
R_30uRCB7vSqjK8Tf,before,yes,15
R_30uRCB7vSqjK8Tf,after,yes,21
R_2VkJBjNuuyAttyZ,before,yes,22
R_2VkJBjNuuyAttyZ,after,yes,25
R_RLcbhnqjnjLiaVX,before,yes,3
R_RLcbhnqjnjLiaVX,after,yes,13.5
R_2B4II5QqOBTuBsc,before,yes,15
R_2B4II5QqOBTuBsc,after,yes,30
R_1M5w3AllKLTG9vr,before,yes,43.2
R_1M5w3AllKLTG9vr,after,yes,56.24
R_0vTXEcLGjOc6uRj,before,yes,22
R_0vTXEcLGjOc6uRj,after,yes,30
R_3VJUdRxHSSY9KRH,before,yes,40
R_3VJUdRxHSSY9KRH,after,yes,60
R_b3OqdK3QYKKuHYd,before,yes,5
R_b3OqdK3QYKKuHYd,after,yes,12
R_8jHHv1qsC7vCAz7,before,yes,14
R_8jHHv1qsC7vCAz7,after,yes,20
R_BDGcUeEGjSpIacN,before,yes,10
R_BDGcUeEGjSpIacN,after,yes,40
R_3lxovCWhEaeqaCs,before,yes,30
R_3lxovCWhEaeqaCs,after,yes,16
R_1N9O72YdQ4GZFDi,before,yes,48
R_1N9O72YdQ4GZFDi,after,yes,40
R_brWqcjWNLR2SR6p,before,yes,25
R_brWqcjWNLR2SR6p,after,yes,35
R_1HbCUjufNKWfBV4,before,yes,35
R_1HbCUjufNKWfBV4,after,yes,15.75
R_OP7imJenh3QEzHr,before,yes,13
R_OP7imJenh3QEzHr,after,yes,51
R_2YJKbEV4DDO8Lc0,before,yes,20
R_2YJKbEV4DDO8Lc0,after,yes,15
R_6kZae0087zktvOx,before,yes,15
R_6kZae0087zktvOx,after,yes,30
R_24isskypHAzj6a4,before,yes,8
R_24isskypHAzj6a4,after,yes,40
R_b25c1SzzqBXhNlf,before,yes,30
R_b25c1SzzqBXhNlf,after,yes,46
R_1nSWaU6aHeoCVz1,before,yes,2
R_1nSWaU6aHeoCVz1,after,yes,15
R_2XcEmd1YzcIXw1Y,before,yes,0
R_2XcEmd1YzcIXw1Y,after,yes,30
R_3KCvZebmGxmSVat,before,yes,42
R_3KCvZebmGxmSVat,after,yes,28
R_2TSJxMqN9gOlUOV,before,yes,36
R_2TSJxMqN9gOlUOV,after,yes,50
R_3jV6I52yPFAZ8oy,before,yes,27
R_3jV6I52yPFAZ8oy,after,yes,31
R_1E5vpihv0BCn2Jo,before,yes,31
R_1E5vpihv0BCn2Jo,after,yes,40
R_3asqcGii6ulHk9X,before,yes,13
R_3asqcGii6ulHk9X,after,yes,30
R_2947NV0sa0o6uqa,before,yes,30
R_2947NV0sa0o6uqa,after,yes,75
R_1Nady9hvbIvDcLg,before,yes,21
R_1Nady9hvbIvDcLg,after,yes,30
R_SIf4380kHiu7wAh,before,yes,11
R_SIf4380kHiu7wAh,after,yes,6
R_1DtGqgKOtlhl4vS,before,yes,75
R_1DtGqgKOtlhl4vS,after,yes,60
R_UuOGjA6wOYIRHUt,before,yes,40
R_UuOGjA6wOYIRHUt,after,yes,80
R_1eqNc6OUIYqj3s8,before,yes,40
R_1eqNc6OUIYqj3s8,after,yes,64
R_3koLHqG1bLK3yy5,before,yes,8
R_3koLHqG1bLK3yy5,after,yes,30
R_2qrC4O6fVkjwiry,before,yes,20
R_2qrC4O6fVkjwiry,after,yes,5
R_ZxG3FMCz1l6uJd7,before,yes,9
R_ZxG3FMCz1l6uJd7,after,yes,7
R_SUcU46CryPkShsR,before,yes,40
R_SUcU46CryPkShsR,after,yes,55
R_1cSrZsKJbMLVpfn,before,yes,10
R_1cSrZsKJbMLVpfn,after,yes,35
R_3e1VGffpt89tw8h,before,yes,25
R_3e1VGffpt89tw8h,after,yes,45
R_25z3VIIwpNMoGjS,before,yes,25
R_25z3VIIwpNMoGjS,after,yes,34
R_3pajSVQnjGXyVpt,before,yes,8
R_3pajSVQnjGXyVpt,after,yes,45
R_2TG0VS1cyTZTOII,before,yes,10
R_2TG0VS1cyTZTOII,after,yes,15
R_2vZKXOkrXwQOPM0,before,yes,35
R_2vZKXOkrXwQOPM0,after,yes,40
R_1OIk0siawnKDTiy,before,yes,20
R_1OIk0siawnKDTiy,after,yes,50
R_1mIvz4scUnVKLx7,before,yes,5
R_1mIvz4scUnVKLx7,after,yes,8
R_Zrj2VRi2kmSoAoN,before,yes,13
R_Zrj2VRi2kmSoAoN,after,yes,22
R_WxPm6DIjeTENfxv,before,yes,30
R_WxPm6DIjeTENfxv,after,yes,38
R_3O0Oame9dqBbP5b,before,yes,2
R_3O0Oame9dqBbP5b,after,yes,10
R_DejQ8cSCeZ4rekp,before,yes,30
R_DejQ8cSCeZ4rekp,after,yes,40
R_1OVLo23ZSViJv0e,before,yes,8
R_1OVLo23ZSViJv0e,after,yes,14
R_27D28zcmps8GRka,before,yes,20
R_27D28zcmps8GRka,after,yes,23
R_1isdeJ0akLVA05z,before,yes,35
R_1isdeJ0akLVA05z,after,yes,35
R_3n2iadGDdM5zQ7k,before,yes,30
R_3n2iadGDdM5zQ7k,after,yes,38
R_3scUafsIK61edPZ,before,yes,20
R_3scUafsIK61edPZ,after,yes,60
R_29gj9i4nykxouwi,before,yes,6
R_29gj9i4nykxouwi,after,yes,20
R_3HS9n2GsIIHkDkT,before,yes,15
R_3HS9n2GsIIHkDkT,after,yes,15
R_2YyK6503UwmpO2W,before,yes,8
R_2YyK6503UwmpO2W,after,yes,10
R_2OYGHuXGBqkz2JB,before,yes,35
R_2OYGHuXGBqkz2JB,after,yes,77
R_2E4NIJT672CNqhY,before,yes,14.000000000000002
R_2E4NIJT672CNqhY,after,yes,6
R_BPqFXh1wkgyB1Tz,before,yes,10
R_BPqFXh1wkgyB1Tz,after,yes,25
R_3m4gEtF4OFDZWgM,before,yes,8
R_3m4gEtF4OFDZWgM,after,yes,10
R_1jf9Sx7JAoAu6dB,before,yes,20
R_1jf9Sx7JAoAu6dB,after,yes,40
R_10TobIjLKGhA3cQ,before,yes,15
R_10TobIjLKGhA3cQ,after,yes,15
R_2OPDHtEfJyTCxsv,before,yes,35
R_2OPDHtEfJyTCxsv,after,yes,45
R_29sTVuZYJRxiKzv,before,yes,8
