Hypothesis,Estimate,Est.Error,CI.Lower,CI.Upper,Evid.Ratio,Post.Prob,Star
(time1) = 0,-0.279631532653402,0.19716921156254535,-0.6711677847650602,0.09678852995355533,9.79385065671117,0.9073546566647889,
(total_hours) = 0,-2.8032256434780157e-4,0.012507813769844792,-0.02436054773025336,0.023835910659015594,406.9334484812209,0.9975486197473556,
(time1:total_hours) = 0,-0.007042005367520909,0.007309131251651885,-0.021413101451360734,0.007084319975411877,394.2971994588636,0.9974702578177408,
