Parameter,BF,Effects,Component
b_lockdown_period1,211.9735467029924,fixed,conditional
b_lockdown_period1.total_hours_played_s,0.11888544358517808,fixed,conditional
b_total_hours_played_s,0.1879869021723224,fixed,conditional
