response_id,lockdown_period,subscale,item,score
R_28NVjdZPvV2fLBs,before,loneliness,1,3
R_28NVjdZPvV2fLBs,before,loneliness,2,3
R_28NVjdZPvV2fLBs,before,loneliness,3,3
R_28NVjdZPvV2fLBs,during,loneliness,1,3
R_28NVjdZPvV2fLBs,during,loneliness,2,3
R_28NVjdZPvV2fLBs,during,loneliness,3,3
R_2rPjSQLcIC8CDty,before,loneliness,1,1
R_2rPjSQLcIC8CDty,before,loneliness,2,1
R_2rPjSQLcIC8CDty,before,loneliness,3,1
R_2rPjSQLcIC8CDty,during,loneliness,1,1
R_2rPjSQLcIC8CDty,during,loneliness,2,2
R_2rPjSQLcIC8CDty,during,loneliness,3,2
R_upLgg7PndxOE2Vr,before,loneliness,1,2
R_upLgg7PndxOE2Vr,before,loneliness,2,1
R_upLgg7PndxOE2Vr,before,loneliness,3,2
R_upLgg7PndxOE2Vr,during,loneliness,1,1
R_upLgg7PndxOE2Vr,during,loneliness,2,1
R_upLgg7PndxOE2Vr,during,loneliness,3,1
R_1NmQkOcQT42agWF,before,loneliness,1,2
R_1NmQkOcQT42agWF,before,loneliness,2,2
R_1NmQkOcQT42agWF,before,loneliness,3,2
R_1NmQkOcQT42agWF,during,loneliness,1,2
R_1NmQkOcQT42agWF,during,loneliness,2,2
R_1NmQkOcQT42agWF,during,loneliness,3,2
R_2SwMBZLcD2f52ij,before,loneliness,1,2
R_2SwMBZLcD2f52ij,before,loneliness,2,2
R_2SwMBZLcD2f52ij,before,loneliness,3,2
R_2SwMBZLcD2f52ij,during,loneliness,1,2
R_2SwMBZLcD2f52ij,during,loneliness,2,2
R_2SwMBZLcD2f52ij,during,loneliness,3,2
R_2QJLcvGH3VwNmlZ,before,loneliness,1,1
R_2QJLcvGH3VwNmlZ,before,loneliness,2,1
R_2QJLcvGH3VwNmlZ,before,loneliness,3,3
R_2QJLcvGH3VwNmlZ,during,loneliness,1,1
R_2QJLcvGH3VwNmlZ,during,loneliness,2,1
R_2QJLcvGH3VwNmlZ,during,loneliness,3,1
R_000jgq6zfKH3jcB,before,loneliness,1,2
R_000jgq6zfKH3jcB,before,loneliness,2,2
R_000jgq6zfKH3jcB,before,loneliness,3,1
R_000jgq6zfKH3jcB,during,loneliness,1,2
R_000jgq6zfKH3jcB,during,loneliness,2,2
R_000jgq6zfKH3jcB,during,loneliness,3,3
R_2cd59QR5hZHKBZT,before,loneliness,1,3
R_2cd59QR5hZHKBZT,before,loneliness,2,3
R_2cd59QR5hZHKBZT,before,loneliness,3,3
R_2cd59QR5hZHKBZT,during,loneliness,1,2
R_2cd59QR5hZHKBZT,during,loneliness,2,2
R_2cd59QR5hZHKBZT,during,loneliness,3,2
R_2dQRwob8W5KZXgY,before,loneliness,1,1
R_2dQRwob8W5KZXgY,before,loneliness,2,2
R_2dQRwob8W5KZXgY,before,loneliness,3,1
R_2dQRwob8W5KZXgY,during,loneliness,1,2
R_2dQRwob8W5KZXgY,during,loneliness,2,2
R_2dQRwob8W5KZXgY,during,loneliness,3,2
R_2tqUYhzsg6ITwD1,before,loneliness,1,2
R_2tqUYhzsg6ITwD1,before,loneliness,2,2
R_2tqUYhzsg6ITwD1,before,loneliness,3,3
R_2tqUYhzsg6ITwD1,during,loneliness,1,2
R_2tqUYhzsg6ITwD1,during,loneliness,2,1
R_2tqUYhzsg6ITwD1,during,loneliness,3,2
R_2SvQK62v9Z0NpaC,before,loneliness,1,2
R_2SvQK62v9Z0NpaC,before,loneliness,2,1
R_2SvQK62v9Z0NpaC,before,loneliness,3,1
R_2SvQK62v9Z0NpaC,during,loneliness,1,2
R_2SvQK62v9Z0NpaC,during,loneliness,2,3
R_2SvQK62v9Z0NpaC,during,loneliness,3,3
R_1q9BHkV242D62cG,before,loneliness,1,2
R_1q9BHkV242D62cG,before,loneliness,2,3
R_1q9BHkV242D62cG,before,loneliness,3,3
R_1q9BHkV242D62cG,during,loneliness,1,3
R_1q9BHkV242D62cG,during,loneliness,2,3
R_1q9BHkV242D62cG,during,loneliness,3,3
R_1LCosfUrLhSMxRQ,before,loneliness,1,1
R_1LCosfUrLhSMxRQ,before,loneliness,2,1
R_1LCosfUrLhSMxRQ,before,loneliness,3,1
R_1LCosfUrLhSMxRQ,during,loneliness,1,1
R_1LCosfUrLhSMxRQ,during,loneliness,2,1
R_1LCosfUrLhSMxRQ,during,loneliness,3,2
R_2f82SUumXJ91Tm8,before,loneliness,1,1
R_2f82SUumXJ91Tm8,before,loneliness,2,1
R_2f82SUumXJ91Tm8,before,loneliness,3,1
R_2f82SUumXJ91Tm8,during,loneliness,1,1
R_2f82SUumXJ91Tm8,during,loneliness,2,2
R_2f82SUumXJ91Tm8,during,loneliness,3,1
R_3PjYxPdMelfAuAx,before,loneliness,1,3
R_3PjYxPdMelfAuAx,before,loneliness,2,3
R_3PjYxPdMelfAuAx,before,loneliness,3,3
R_3PjYxPdMelfAuAx,during,loneliness,1,3
R_3PjYxPdMelfAuAx,during,loneliness,2,3
R_3PjYxPdMelfAuAx,during,loneliness,3,3
R_6rhaURmMWIpWVwd,before,loneliness,1,2
R_6rhaURmMWIpWVwd,before,loneliness,2,2
R_6rhaURmMWIpWVwd,before,loneliness,3,2
R_6rhaURmMWIpWVwd,during,loneliness,1,3
R_6rhaURmMWIpWVwd,during,loneliness,2,2
R_6rhaURmMWIpWVwd,during,loneliness,3,3
R_2tJtUaHMu03QTQ1,before,loneliness,1,2
R_2tJtUaHMu03QTQ1,before,loneliness,2,3
R_2tJtUaHMu03QTQ1,before,loneliness,3,3
R_2tJtUaHMu03QTQ1,during,loneliness,1,3
R_2tJtUaHMu03QTQ1,during,loneliness,2,3
R_2tJtUaHMu03QTQ1,during,loneliness,3,3
R_20NVUurOXIj6JN6,before,loneliness,1,3
R_20NVUurOXIj6JN6,before,loneliness,2,3
R_20NVUurOXIj6JN6,before,loneliness,3,3
R_20NVUurOXIj6JN6,during,loneliness,1,3
R_20NVUurOXIj6JN6,during,loneliness,2,3
R_20NVUurOXIj6JN6,during,loneliness,3,3
R_1FKyUMNfVFCfhAP,before,loneliness,1,2
R_1FKyUMNfVFCfhAP,before,loneliness,2,2
R_1FKyUMNfVFCfhAP,before,loneliness,3,1
R_1FKyUMNfVFCfhAP,during,loneliness,1,2
R_1FKyUMNfVFCfhAP,during,loneliness,2,1
R_1FKyUMNfVFCfhAP,during,loneliness,3,1
R_OPvs1zUpPEvZoEp,before,loneliness,1,1
R_OPvs1zUpPEvZoEp,before,loneliness,2,1
R_OPvs1zUpPEvZoEp,before,loneliness,3,1
R_OPvs1zUpPEvZoEp,during,loneliness,1,1
R_OPvs1zUpPEvZoEp,during,loneliness,2,1
R_OPvs1zUpPEvZoEp,during,loneliness,3,1
R_54O3tQvET3fkQAV,before,loneliness,1,3
R_54O3tQvET3fkQAV,before,loneliness,2,2
R_54O3tQvET3fkQAV,before,loneliness,3,1
R_54O3tQvET3fkQAV,during,loneliness,1,3
R_54O3tQvET3fkQAV,during,loneliness,2,2
R_54O3tQvET3fkQAV,during,loneliness,3,2
R_2TBpq77Wwtwqrfh,before,loneliness,1,1
R_2TBpq77Wwtwqrfh,before,loneliness,2,1
R_2TBpq77Wwtwqrfh,before,loneliness,3,1
R_2TBpq77Wwtwqrfh,during,loneliness,1,2
