response_id,lockdown_period,subscale,item,score
R_28NVjdZPvV2fLBs,before,instrinsic_motivation,1,6
R_28NVjdZPvV2fLBs,before,instrinsic_motivation,2,4
R_28NVjdZPvV2fLBs,before,instrinsic_motivation,3,6
R_28NVjdZPvV2fLBs,before,integrated_regulation,4,6
R_28NVjdZPvV2fLBs,before,integrated_regulation,5,6
R_28NVjdZPvV2fLBs,before,integrated_regulation,6,6
R_28NVjdZPvV2fLBs,before,identified_regulation,7,6
R_28NVjdZPvV2fLBs,before,identified_regulation,8,6
R_28NVjdZPvV2fLBs,before,identified_regulation,9,6
R_28NVjdZPvV2fLBs,before,introjected_regulation,10,4
R_28NVjdZPvV2fLBs,before,introjected_regulation,11,6
R_28NVjdZPvV2fLBs,before,introjected_regulation,12,4
R_28NVjdZPvV2fLBs,before,external_regulation,13,6
R_28NVjdZPvV2fLBs,before,external_regulation,14,6
R_28NVjdZPvV2fLBs,before,external_regulation,15,6
R_28NVjdZPvV2fLBs,before,amotivation,16,1
R_28NVjdZPvV2fLBs,before,amotivation,17,4
R_28NVjdZPvV2fLBs,before,amotivation,18,1
R_28NVjdZPvV2fLBs,during,instrinsic_motivation,1,6
R_28NVjdZPvV2fLBs,during,instrinsic_motivation,2,6
R_28NVjdZPvV2fLBs,during,instrinsic_motivation,3,6
R_28NVjdZPvV2fLBs,during,integrated_regulation,4,6
R_28NVjdZPvV2fLBs,during,integrated_regulation,5,6
R_28NVjdZPvV2fLBs,during,integrated_regulation,6,6
R_28NVjdZPvV2fLBs,during,identified_regulation,7,6
R_28NVjdZPvV2fLBs,during,identified_regulation,8,6
R_28NVjdZPvV2fLBs,during,identified_regulation,9,6
R_28NVjdZPvV2fLBs,during,introjected_regulation,10,6
R_28NVjdZPvV2fLBs,during,introjected_regulation,11,6
R_28NVjdZPvV2fLBs,during,introjected_regulation,12,6
R_28NVjdZPvV2fLBs,during,external_regulation,13,6
R_28NVjdZPvV2fLBs,during,external_regulation,14,6
R_28NVjdZPvV2fLBs,during,external_regulation,15,6
R_28NVjdZPvV2fLBs,during,amotivation,16,1
R_28NVjdZPvV2fLBs,during,amotivation,17,1
R_28NVjdZPvV2fLBs,during,amotivation,18,1
R_2rPjSQLcIC8CDty,before,instrinsic_motivation,1,4
R_2rPjSQLcIC8CDty,before,instrinsic_motivation,2,5
R_2rPjSQLcIC8CDty,before,instrinsic_motivation,3,6
R_2rPjSQLcIC8CDty,before,integrated_regulation,4,5
R_2rPjSQLcIC8CDty,before,integrated_regulation,5,6
R_2rPjSQLcIC8CDty,before,integrated_regulation,6,5
R_2rPjSQLcIC8CDty,before,identified_regulation,7,5
R_2rPjSQLcIC8CDty,before,identified_regulation,8,4
R_2rPjSQLcIC8CDty,before,identified_regulation,9,6
R_2rPjSQLcIC8CDty,before,introjected_regulation,10,3
R_2rPjSQLcIC8CDty,before,introjected_regulation,11,4
R_2rPjSQLcIC8CDty,before,introjected_regulation,12,2
R_2rPjSQLcIC8CDty,before,external_regulation,13,4
R_2rPjSQLcIC8CDty,before,external_regulation,14,4
R_2rPjSQLcIC8CDty,before,external_regulation,15,5
R_2rPjSQLcIC8CDty,before,amotivation,16,1
R_2rPjSQLcIC8CDty,before,amotivation,17,1
R_2rPjSQLcIC8CDty,before,amotivation,18,1
R_2rPjSQLcIC8CDty,during,instrinsic_motivation,1,6
R_2rPjSQLcIC8CDty,during,instrinsic_motivation,2,6
R_2rPjSQLcIC8CDty,during,instrinsic_motivation,3,6
R_2rPjSQLcIC8CDty,during,integrated_regulation,4,5
R_2rPjSQLcIC8CDty,during,integrated_regulation,5,5
R_2rPjSQLcIC8CDty,during,integrated_regulation,6,5
R_2rPjSQLcIC8CDty,during,identified_regulation,7,4
R_2rPjSQLcIC8CDty,during,identified_regulation,8,3
R_2rPjSQLcIC8CDty,during,identified_regulation,9,6
R_2rPjSQLcIC8CDty,during,introjected_regulation,10,4
R_2rPjSQLcIC8CDty,during,introjected_regulation,11,3
R_2rPjSQLcIC8CDty,during,introjected_regulation,12,3
R_2rPjSQLcIC8CDty,during,external_regulation,13,6
R_2rPjSQLcIC8CDty,during,external_regulation,14,5
R_2rPjSQLcIC8CDty,during,external_regulation,15,6
R_2rPjSQLcIC8CDty,during,amotivation,16,1
R_2rPjSQLcIC8CDty,during,amotivation,17,1
R_2rPjSQLcIC8CDty,during,amotivation,18,1
R_upLgg7PndxOE2Vr,before,instrinsic_motivation,1,4
R_upLgg7PndxOE2Vr,before,instrinsic_motivation,2,1
R_upLgg7PndxOE2Vr,before,instrinsic_motivation,3,5
R_upLgg7PndxOE2Vr,before,integrated_regulation,4,1
R_upLgg7PndxOE2Vr,before,integrated_regulation,5,1
R_upLgg7PndxOE2Vr,before,integrated_regulation,6,1
R_upLgg7PndxOE2Vr,before,identified_regulation,7,1
R_upLgg7PndxOE2Vr,before,identified_regulation,8,1
R_upLgg7PndxOE2Vr,before,identified_regulation,9,2
R_upLgg7PndxOE2Vr,before,introjected_regulation,10,1
R_upLgg7PndxOE2Vr,before,introjected_regulation,11,1
R_upLgg7PndxOE2Vr,before,introjected_regulation,12,1
R_upLgg7PndxOE2Vr,before,external_regulation,13,5
R_upLgg7PndxOE2Vr,before,external_regulation,14,4
R_upLgg7PndxOE2Vr,before,external_regulation,15,5
R_upLgg7PndxOE2Vr,before,amotivation,16,1
R_upLgg7PndxOE2Vr,before,amotivation,17,1
R_upLgg7PndxOE2Vr,before,amotivation,18,1
R_upLgg7PndxOE2Vr,during,instrinsic_motivation,1,3
R_upLgg7PndxOE2Vr,during,instrinsic_motivation,2,1
R_upLgg7PndxOE2Vr,during,instrinsic_motivation,3,6
R_upLgg7PndxOE2Vr,during,integrated_regulation,4,1
R_upLgg7PndxOE2Vr,during,integrated_regulation,5,1
R_upLgg7PndxOE2Vr,during,integrated_regulation,6,1
R_upLgg7PndxOE2Vr,during,identified_regulation,7,1
R_upLgg7PndxOE2Vr,during,identified_regulation,8,1
R_upLgg7PndxOE2Vr,during,identified_regulation,9,1
R_upLgg7PndxOE2Vr,during,introjected_regulation,10,1
R_upLgg7PndxOE2Vr,during,introjected_regulation,11,1
R_upLgg7PndxOE2Vr,during,introjected_regulation,12,1
