response_id,lockdown_period,subscale,item,score
R_egrPbOmESOQ7LH3,during,instrinsic_motivation,2,6
R_egrPbOmESOQ7LH3,during,instrinsic_motivation,3,5
R_egrPbOmESOQ7LH3,during,integrated_regulation,4,4
R_egrPbOmESOQ7LH3,during,integrated_regulation,5,5
R_egrPbOmESOQ7LH3,during,integrated_regulation,6,4
R_egrPbOmESOQ7LH3,during,identified_regulation,7,4
R_egrPbOmESOQ7LH3,during,identified_regulation,8,2
R_egrPbOmESOQ7LH3,during,identified_regulation,9,6
R_egrPbOmESOQ7LH3,during,introjected_regulation,10,4
R_egrPbOmESOQ7LH3,during,introjected_regulation,11,5
R_egrPbOmESOQ7LH3,during,introjected_regulation,12,1
R_egrPbOmESOQ7LH3,during,external_regulation,13,5
R_egrPbOmESOQ7LH3,during,external_regulation,14,6
R_egrPbOmESOQ7LH3,during,external_regulation,15,6
R_egrPbOmESOQ7LH3,during,amotivation,16,1
R_egrPbOmESOQ7LH3,during,amotivation,17,1
R_egrPbOmESOQ7LH3,during,amotivation,18,1
R_1DM7yYCOiYR4ya2,before,instrinsic_motivation,1,4
R_1DM7yYCOiYR4ya2,before,instrinsic_motivation,2,5
R_1DM7yYCOiYR4ya2,before,instrinsic_motivation,3,6
R_1DM7yYCOiYR4ya2,before,integrated_regulation,4,5
R_1DM7yYCOiYR4ya2,before,integrated_regulation,5,6
R_1DM7yYCOiYR4ya2,before,integrated_regulation,6,5
R_1DM7yYCOiYR4ya2,before,identified_regulation,7,5
R_1DM7yYCOiYR4ya2,before,identified_regulation,8,5
R_1DM7yYCOiYR4ya2,before,identified_regulation,9,6
R_1DM7yYCOiYR4ya2,before,introjected_regulation,10,3
R_1DM7yYCOiYR4ya2,before,introjected_regulation,11,3
R_1DM7yYCOiYR4ya2,before,introjected_regulation,12,3
R_1DM7yYCOiYR4ya2,before,external_regulation,13,4
R_1DM7yYCOiYR4ya2,before,external_regulation,14,5
R_1DM7yYCOiYR4ya2,before,external_regulation,15,5
R_1DM7yYCOiYR4ya2,before,amotivation,16,1
R_1DM7yYCOiYR4ya2,before,amotivation,17,1
R_1DM7yYCOiYR4ya2,before,amotivation,18,1
R_1DM7yYCOiYR4ya2,during,instrinsic_motivation,1,6
R_1DM7yYCOiYR4ya2,during,instrinsic_motivation,2,5
R_1DM7yYCOiYR4ya2,during,instrinsic_motivation,3,6
R_1DM7yYCOiYR4ya2,during,integrated_regulation,4,6
