response_id,lockdown_period,subscale,item,score
R_3L0dsQEmJBoz6CB,before,loneliness,1,2
R_3L0dsQEmJBoz6CB,before,loneliness,2,3
R_3L0dsQEmJBoz6CB,before,loneliness,3,3
R_3L0dsQEmJBoz6CB,during,loneliness,1,2
R_3L0dsQEmJBoz6CB,during,loneliness,2,2
R_3L0dsQEmJBoz6CB,during,loneliness,3,2
R_55QtESMR1CmR1bb,before,loneliness,1,1
R_55QtESMR1CmR1bb,before,loneliness,2,1
R_55QtESMR1CmR1bb,before,loneliness,3,2
R_55QtESMR1CmR1bb,during,loneliness,1,1
R_55QtESMR1CmR1bb,during,loneliness,2,2
R_55QtESMR1CmR1bb,during,loneliness,3,3
R_egrPbOmESOQ7LH3,before,loneliness,1,3
R_egrPbOmESOQ7LH3,before,loneliness,2,3
R_egrPbOmESOQ7LH3,before,loneliness,3,3
R_egrPbOmESOQ7LH3,during,loneliness,1,3
R_egrPbOmESOQ7LH3,during,loneliness,2,3
R_egrPbOmESOQ7LH3,during,loneliness,3,3
R_1DM7yYCOiYR4ya2,before,loneliness,1,1
R_1DM7yYCOiYR4ya2,before,loneliness,2,2
R_1DM7yYCOiYR4ya2,before,loneliness,3,2
R_1DM7yYCOiYR4ya2,during,loneliness,1,1
R_1DM7yYCOiYR4ya2,during,loneliness,2,2
R_1DM7yYCOiYR4ya2,during,loneliness,3,2
R_A672rfL6ej9Rq8h,before,loneliness,1,2
R_A672rfL6ej9Rq8h,before,loneliness,2,2
R_A672rfL6ej9Rq8h,before,loneliness,3,3
R_A672rfL6ej9Rq8h,during,loneliness,1,2
R_A672rfL6ej9Rq8h,during,loneliness,2,3
R_A672rfL6ej9Rq8h,during,loneliness,3,3
R_3nIcJNaem29eD3m,before,loneliness,1,2
R_3nIcJNaem29eD3m,before,loneliness,2,2
R_3nIcJNaem29eD3m,before,loneliness,3,1
R_3nIcJNaem29eD3m,during,loneliness,1,1
R_3nIcJNaem29eD3m,during,loneliness,2,2
R_3nIcJNaem29eD3m,during,loneliness,3,1
R_3IXNsI0MDPSrAEU,before,loneliness,1,2
R_3IXNsI0MDPSrAEU,before,loneliness,2,2
R_3IXNsI0MDPSrAEU,before,loneliness,3,2
R_3IXNsI0MDPSrAEU,during,loneliness,1,2
R_3IXNsI0MDPSrAEU,during,loneliness,2,2
R_3IXNsI0MDPSrAEU,during,loneliness,3,2
R_3mltujcfVRDBFwo,before,loneliness,1,1
R_3mltujcfVRDBFwo,before,loneliness,2,1
R_3mltujcfVRDBFwo,before,loneliness,3,1
R_3mltujcfVRDBFwo,during,loneliness,1,1
R_3mltujcfVRDBFwo,during,loneliness,2,1
R_3mltujcfVRDBFwo,during,loneliness,3,1
R_21b9j1WapXLQCLl,before,loneliness,1,3
R_21b9j1WapXLQCLl,before,loneliness,2,3
R_21b9j1WapXLQCLl,before,loneliness,3,2
R_21b9j1WapXLQCLl,during,loneliness,1,3
R_21b9j1WapXLQCLl,during,loneliness,2,3
R_21b9j1WapXLQCLl,during,loneliness,3,3
R_CZwSxUPuv8a4BYl,before,loneliness,1,2
R_CZwSxUPuv8a4BYl,before,loneliness,2,1
R_CZwSxUPuv8a4BYl,before,loneliness,3,2
R_CZwSxUPuv8a4BYl,during,loneliness,1,2
R_CZwSxUPuv8a4BYl,during,loneliness,2,1
R_CZwSxUPuv8a4BYl,during,loneliness,3,2
R_0HrndcL3lki2lZ7,before,loneliness,1,3
R_0HrndcL3lki2lZ7,before,loneliness,2,3
R_0HrndcL3lki2lZ7,before,loneliness,3,3
R_0HrndcL3lki2lZ7,during,loneliness,1,3
R_0HrndcL3lki2lZ7,during,loneliness,2,3
R_0HrndcL3lki2lZ7,during,loneliness,3,3
R_3rYAprW0GQ77H60,before,loneliness,1,1
R_3rYAprW0GQ77H60,before,loneliness,2,1
R_3rYAprW0GQ77H60,before,loneliness,3,1
R_3rYAprW0GQ77H60,during,loneliness,1,1
R_3rYAprW0GQ77H60,during,loneliness,2,1
R_3rYAprW0GQ77H60,during,loneliness,3,1
R_2PCnueh0z8dxONX,before,loneliness,1,2
R_2PCnueh0z8dxONX,before,loneliness,2,1
R_2PCnueh0z8dxONX,before,loneliness,3,3
R_2PCnueh0z8dxONX,during,loneliness,1,3
R_2PCnueh0z8dxONX,during,loneliness,2,1
R_2PCnueh0z8dxONX,during,loneliness,3,3
R_30enO1wA4LKIhUd,before,loneliness,1,3
R_30enO1wA4LKIhUd,before,loneliness,2,2
R_30enO1wA4LKIhUd,before,loneliness,3,3
R_30enO1wA4LKIhUd,during,loneliness,1,3
R_30enO1wA4LKIhUd,during,loneliness,2,1
R_30enO1wA4LKIhUd,during,loneliness,3,3
R_3feFL01maECWrJE,before,loneliness,1,3
R_3feFL01maECWrJE,before,loneliness,2,3
R_3feFL01maECWrJE,before,loneliness,3,3
R_3feFL01maECWrJE,during,loneliness,1,3
R_3feFL01maECWrJE,during,loneliness,2,3
R_3feFL01maECWrJE,during,loneliness,3,3
R_12JyJmQfO8sTgUl,before,loneliness,1,3
R_12JyJmQfO8sTgUl,before,loneliness,2,3
