Parameter,BF,Effects,Component
b_lockdown_period1,0.08092548079050525,fixed,conditional
b_lockdown_period1.total_hours_played_s,0.15552503834782366,fixed,conditional
b_total_hours_played_s,2.041067380714092,fixed,conditional
