Parameter,BF,Effects,Component
b_hours_diff,0.00633112795225024,fixed,conditional
b_hours_diff.loneliness_during,6.706294429039404e-4,fixed,conditional
b_loneliness_during,3.6658921046411828,fixed,conditional
