effect,term,Estimate,Est.Error,l-95% CI,u-95% CI,Rhat,Bulk_ESS,Tail_ESS
fixed,Intercept[1],-5.4129547425,1.1103528869554287,-7.8146362499999995,-3.4727432500000006,1.00159208121491,1364,2489
fixed,Intercept[2],-3.668480798875,0.9260272223929534,-5.626886,-2.0264372500000007,1.0011885404085499,1450,2594
fixed,Intercept[3],-2.3056106293,0.7953723843240031,-3.9724267499999995,-0.8561906500000004,1.0007846961440865,1482,2444
fixed,Intercept[4],-1.2779076403275,0.7325939983644209,-2.799806,0.08742055499999983,1.0008691211734155,1570,2401
fixed,Intercept[5],-0.092754881487575,0.6797499616391998,-1.4737152499999997,1.1930929999999988,1.0007396398136266,1606,2450
fixed,Intercept[6],0.7597834184585,0.674540559238029,-0.5746814749999997,2.074693,1.000807475800866,1774,3285
fixed,Intercept[7],1.26484981110775,0.6758592218516043,-0.06613756499999976,2.617390999999999,1.0007417053612253,1843,3494
fixed,Intercept[8],2.069039786875,0.6938501204455244,0.7425078000000003,3.467488999999999,1.0008894728545858,2030,3736
fixed,Intercept[9],2.7791539720125,0.7223862298422921,1.424144,4.27276725,1.000944831563405,2126,3809
fixed,Intercept[10],3.48217739675,0.767188287775423,2.0489535,5.077463999999999,1.0010126082573338,2420,4225
fixed,Intercept[11],3.793626649875,0.7981236069458005,2.3365282499999998,5.45604575,1.0009297563917885,2462,4390
fixed,Intercept[12],4.62003853875,0.880928221283073,3.06381025,6.50798675,1.0005954923454419,2717,4836
fixed,Intercept[13],5.371184365,0.952021502201449,3.6970502500000006,7.394084749999998,1.0003728191060448,2877,5274
fixed,Intercept[14],6.22943591375,1.0404971342630485,4.350262750000001,8.4443845,1.0004554281475946,3105,5464
fixed,Intercept[15],6.7340365075,1.0911659050515399,4.8081890000000005,9.032153999999995,1.000389592698423,3313,5954
fixed,Intercept[16],9.30013409125,1.6969472990960675,6.4924722500000005,13.220202500000001,1.0005474133333125,4450,5552
fixed,Intercept[17],11.7226339925,2.428156495626758,7.79336725,17.293684999999993,1.000471769278802,4984,5758
fixed,lockdown_period1,0.1327020077487,0.193889651810338,-0.2519851999999999,0.5183208999999996,0.9999048897372204,8186,5533
fixed,total_hours_played_s,-0.2244298350366125,0.389435639279102,-1.00522375,0.5323164499999987,1.0011033536311404,2892,4069
fixed,lockdown_period1:total_hours_played_s,-0.085442003820925,0.20507574884263674,-0.4875760249999999,0.3122551999999997,1.0002136689725751,8525,6170
