effect,term,Estimate,Est.Error,l-95% CI,u-95% CI,Rhat,Bulk_ESS,Tail_ESS
fixed,Intercept[1],-9.15601680625,1.8578211012266044,-13.321107499999998,-6.066923750000001,1.0022910260654088,1689,3292
fixed,Intercept[2],-7.72140172125,1.4540449361556522,-10.9025825,-5.240244250000002,1.0017621986371212,1760,3367
fixed,Intercept[3],-5.824650985,1.0690152157296744,-8.149796,-3.9707502500000023,1.0015872927714373,1813,3729
fixed,Intercept[4],-4.1301113475,0.792906112153416,-5.807613499999999,-2.71098875,1.0015439996820406,1991,3568
fixed,Intercept[5],-2.80217671,0.652072495100579,-4.1769035,-1.6292937500000013,1.0009332940607267,2025,3392
fixed,Intercept[6],-1.6993141409625,0.5690794909530268,-2.87235175,-0.6244046250000003,1.0006901375405077,2102,3611
fixed,Intercept[7],0.0481475738602875,0.5089177080727497,-0.9319623249999996,1.0689069999999996,1.001258103144364,2287,3392
fixed,Intercept[8],0.9160389647407375,0.5213666335687833,-0.053427064999999906,1.9882389999999996,1.0018172359053008,2377,4129
fixed,Intercept[9],1.6858131184875,0.552662593919017,0.6773608000000001,2.84723775,1.0018188834047932,2005,4231
fixed,Intercept[10],3.0184500975,0.6464320307390686,1.8648689999999999,4.416343249999999,1.0027145024300996,1764,3772
fixed,Intercept[11],5.4287764425,0.8996130196130453,3.8035585000000003,7.324713249999999,1.0018064349978881,1788,3805
fixed,lockdown_period1,0.1621943074406875,0.1885339796492831,-0.204731,0.5380041249999997,1.0007796822858412,8274,5301
fixed,total_hours_played_s,0.2530402230877,0.34697790924736255,-0.4245985749999999,0.9358810499999998,1.0004809736385276,2615,3961
fixed,lockdown_period1:total_hours_played_s,-0.0891565767154625,0.1940648051950992,-0.47036752499999995,0.2856285249999999,1.0000433194597753,8102,6096
