effect,Estimate,Est.Error,l-95% CI,u-95% CI,Rhat,Bulk_ESS,Tail_ESS
fixed,0.6175868110295,0.6043347706771377,-0.6028360249999999,1.8008435,1.0010008268871646,3539,2418
fixed,-0.0193680379549225,0.03236293161882004,-0.08227531749999999,0.04465865000000005,1.0011786120447361,3340,2128
