item,label
1,Card games and poker
2,Mobile games
3,"Action games, including fighting games, car games, platformers"
4,Shooter/First person shooter games
5,"Exercise, music, or party games"
6,"Adventure, puzzle, and role play games"
7,Simulation games
8,Strategy games
9,Brain training and educational games
