response_id,lockdown_period,subscale,score
R_0Iq1QihJbkIZGG5,before,loneliness,6
R_0Iq1QihJbkIZGG5,during,loneliness,3
R_0xNlcN3NDWsWFsl,before,loneliness,6
R_0xNlcN3NDWsWFsl,during,loneliness,6
R_1Ghi9cuDLyS5Fvj,before,loneliness,7
R_1Ghi9cuDLyS5Fvj,during,loneliness,8
R_1GTWJReePx9Mt0Y,before,loneliness,6
R_1GTWJReePx9Mt0Y,during,loneliness,6
R_1jwyyqW3BkMXKqC,before,loneliness,7
R_1jwyyqW3BkMXKqC,during,loneliness,7
R_1l3QaBdaMZAzDNc,before,loneliness,5
R_1l3QaBdaMZAzDNc,during,loneliness,6
R_1OGOApUcrgQ9PDV,before,loneliness,7
R_1OGOApUcrgQ9PDV,during,loneliness,6
R_22Q9Iw4NYMriVYz,before,loneliness,3
R_22Q9Iw4NYMriVYz,during,loneliness,3
R_237akAEwp1ZNQtX,before,loneliness,4
R_237akAEwp1ZNQtX,during,loneliness,3
R_28YlGk4KWcNC1Hz,before,loneliness,9
R_28YlGk4KWcNC1Hz,during,loneliness,9
R_2ANDY1UL9QHh0bt,before,loneliness,4
R_2ANDY1UL9QHh0bt,during,loneliness,6
R_2fjoBMWdN1ICH1c,before,loneliness,7
R_2fjoBMWdN1ICH1c,during,loneliness,9
R_2fy7OLb5SO3rVpk,before,loneliness,5
R_2fy7OLb5SO3rVpk,during,loneliness,7
R_2qpx286lR9fjVMC,before,loneliness,6
R_2qpx286lR9fjVMC,during,loneliness,6
R_2ri38po4P4fnJtK,before,loneliness,5
R_2ri38po4P4fnJtK,during,loneliness,5
R_2riPjmHJ1ujE2AI,before,loneliness,6
R_2riPjmHJ1ujE2AI,during,loneliness,9
R_2VsTI6YcrvQkU00,before,loneliness,8
R_2VsTI6YcrvQkU00,during,loneliness,7
R_2WUWSPXQGpkoYiQ,before,loneliness,7
R_2WUWSPXQGpkoYiQ,during,loneliness,7
R_2Y3vSpPmQtCUg27,before,loneliness,6
R_2Y3vSpPmQtCUg27,during,loneliness,4
R_2ZNqbe16jkaSqDs,before,loneliness,3
R_2ZNqbe16jkaSqDs,during,loneliness,3
R_31BhgcJAtt4udIx,before,loneliness,7
R_31BhgcJAtt4udIx,during,loneliness,8
R_31RjR49IX1YOJ7y,before,loneliness,5
R_31RjR49IX1YOJ7y,during,loneliness,7
R_3Dhl5RDE5WPkhjZ,before,loneliness,3
R_3Dhl5RDE5WPkhjZ,during,loneliness,3
R_3e2GBC1tsXm5UH9,before,loneliness,3
R_3e2GBC1tsXm5UH9,during,loneliness,3
R_3EbuYRY1KfEPCX3,before,loneliness,5
R_3EbuYRY1KfEPCX3,during,loneliness,7
R_3fiMnltHW0VY7HP,before,loneliness,5
R_3fiMnltHW0VY7HP,during,loneliness,4
R_3fW7nwlGuhwYbo5,before,loneliness,3
R_3fW7nwlGuhwYbo5,during,loneliness,5
R_3g11OuFlZDreUWH,before,loneliness,8
R_3g11OuFlZDreUWH,during,loneliness,6
R_3HIxxqBts6Z0OZO,before,loneliness,6
R_3HIxxqBts6Z0OZO,during,loneliness,7
R_3PNeMMqpSuzFgK6,before,loneliness,5
R_3PNeMMqpSuzFgK6,during,loneliness,4
R_3QM1yoXPn1WIPIp,before,loneliness,6
R_3QM1yoXPn1WIPIp,during,loneliness,6
R_5A6WR2APgRZFueJ,before,loneliness,8
R_5A6WR2APgRZFueJ,during,loneliness,9
R_5AVWI45K9Om73Gh,before,loneliness,5
R_5AVWI45K9Om73Gh,during,loneliness,4
R_6nxz0eKfNc1cdKF,before,loneliness,6
R_6nxz0eKfNc1cdKF,during,loneliness,9
R_82Cae0gGCtZlvZD,before,loneliness,4
R_82Cae0gGCtZlvZD,during,loneliness,9
R_8vUJrorD6qPhNCh,before,loneliness,4
R_8vUJrorD6qPhNCh,during,loneliness,3
R_9Y4ZP3qLoi3t7fH,before,loneliness,7
R_9Y4ZP3qLoi3t7fH,during,loneliness,7
R_AFO5tTqn4Q8XmqB,before,loneliness,8
R_AFO5tTqn4Q8XmqB,during,loneliness,8
R_bl5z1a8F19q4rol,before,loneliness,6
R_bl5z1a8F19q4rol,during,loneliness,3
R_cTMYr4InmqWqxyx,before,loneliness,3
R_cTMYr4InmqWqxyx,during,loneliness,3
R_O22BvtbesSiM9H3,before,loneliness,6
R_O22BvtbesSiM9H3,during,loneliness,8
R_O9VAqYUDUshWv73,before,loneliness,4
R_O9VAqYUDUshWv73,during,loneliness,4
R_p59dkfQNljmhosh,before,loneliness,6
R_p59dkfQNljmhosh,during,loneliness,8
R_Rfb8RkRh6RRJLTr,before,loneliness,6
R_Rfb8RkRh6RRJLTr,during,loneliness,5
R_SDnvXDdPlMdrs9r,before,loneliness,7
R_SDnvXDdPlMdrs9r,during,loneliness,4
R_Ub92pGLz1xv4fbr,before,loneliness,5
R_Ub92pGLz1xv4fbr,during,loneliness,4
R_V213xJcCci8mpHj,before,loneliness,7
R_V213xJcCci8mpHj,during,loneliness,7
R_vlag3f3fIWmaxeV,before,loneliness,3
R_vlag3f3fIWmaxeV,during,loneliness,4
R_w7AV8G1eEuySSVr,before,loneliness,6
R_w7AV8G1eEuySSVr,during,loneliness,8
R_WkD2Xf1StVlY1k5,before,loneliness,7
R_WkD2Xf1StVlY1k5,during,loneliness,8
R_Wrr9h9YwjeBoNpf,before,loneliness,5
R_Wrr9h9YwjeBoNpf,during,loneliness,5
R_XYYWZaTga3BEXdL,before,loneliness,5
R_XYYWZaTga3BEXdL,during,loneliness,5
R_yl0OHDoTCu63b7b,before,loneliness,9
R_yl0OHDoTCu63b7b,during,loneliness,9
R_ZIyPy9Dq6G7mGIx,before,loneliness,8
R_ZIyPy9Dq6G7mGIx,during,loneliness,6
R_zSuKsNMuq2O2oA9,before,loneliness,5
R_zSuKsNMuq2O2oA9,during,loneliness,5
