response_id,regularly_watch_before,type,time,hours
R_w7AV8G1eEuySSVr,no,hours_watching,before,NA
R_w7AV8G1eEuySSVr,no,hours_watching_before,duplicate,NA
R_w7AV8G1eEuySSVr,no,hours_watching,after,2
R_w7AV8G1eEuySSVr,no,hours_interacting_watching,after,NA
R_w7AV8G1eEuySSVr,no,hours_interacting_watching_after,duplicate,NA
R_3g11OuFlZDreUWH,yes,hours_watching,before,44
R_3g11OuFlZDreUWH,yes,hours_watching_before,duplicate,21
R_3g11OuFlZDreUWH,yes,hours_watching,after,1
R_3g11OuFlZDreUWH,yes,hours_interacting_watching,after,13
R_3g11OuFlZDreUWH,yes,hours_interacting_watching_after,duplicate,23
R_ZIyPy9Dq6G7mGIx,no,hours_watching,before,NA
R_ZIyPy9Dq6G7mGIx,no,hours_watching_before,duplicate,NA
R_ZIyPy9Dq6G7mGIx,no,hours_watching,after,2
R_ZIyPy9Dq6G7mGIx,no,hours_interacting_watching,after,NA
R_ZIyPy9Dq6G7mGIx,no,hours_interacting_watching_after,duplicate,NA
R_Rfb8RkRh6RRJLTr,NA,hours_watching,before,NA
R_Rfb8RkRh6RRJLTr,NA,hours_watching_before,duplicate,NA
R_Rfb8RkRh6RRJLTr,NA,hours_watching,after,2
R_Rfb8RkRh6RRJLTr,NA,hours_interacting_watching,after,NA
R_Rfb8RkRh6RRJLTr,NA,hours_interacting_watching_after,duplicate,NA
R_3EbuYRY1KfEPCX3,no,hours_watching,before,NA
R_3EbuYRY1KfEPCX3,no,hours_watching_before,duplicate,NA
R_3EbuYRY1KfEPCX3,no,hours_watching,after,2
R_3EbuYRY1KfEPCX3,no,hours_interacting_watching,after,0
R_3EbuYRY1KfEPCX3,no,hours_interacting_watching_after,duplicate,NA
R_3fW7nwlGuhwYbo5,no,hours_watching,before,NA
R_3fW7nwlGuhwYbo5,no,hours_watching_before,duplicate,NA
R_3fW7nwlGuhwYbo5,no,hours_watching,after,2
R_3fW7nwlGuhwYbo5,no,hours_interacting_watching,after,NA
R_3fW7nwlGuhwYbo5,no,hours_interacting_watching_after,duplicate,NA
R_vlag3f3fIWmaxeV,no,hours_watching,before,NA
R_vlag3f3fIWmaxeV,no,hours_watching_before,duplicate,NA
R_vlag3f3fIWmaxeV,no,hours_watching,after,1
R_vlag3f3fIWmaxeV,no,hours_interacting_watching,after,9
R_vlag3f3fIWmaxeV,no,hours_interacting_watching_after,duplicate,5
R_9Y4ZP3qLoi3t7fH,no,hours_watching,before,NA
R_9Y4ZP3qLoi3t7fH,no,hours_watching_before,duplicate,NA
R_9Y4ZP3qLoi3t7fH,no,hours_watching,after,2
R_9Y4ZP3qLoi3t7fH,no,hours_interacting_watching,after,NA
R_9Y4ZP3qLoi3t7fH,no,hours_interacting_watching_after,duplicate,NA
R_5AVWI45K9Om73Gh,no,hours_watching,before,NA
R_5AVWI45K9Om73Gh,no,hours_watching_before,duplicate,NA
R_5AVWI45K9Om73Gh,no,hours_watching,after,2
R_5AVWI45K9Om73Gh,no,hours_interacting_watching,after,NA
